Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),716000,595000,,,Un sueldo,Performance de la compañía,Tres,50,Mayo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",Developer,4,3,2,0,"Docker, Linux","PHP, TypeScript",Symfony,"PostgreSQL, Redis","PHPUnit, Postman, Playwright",De 101 a 200 personas,100% remoto,0,Si,No,5,1,Universitario,En curso,Licenciatura en Ciencia de Datos,UCAECE - Centro de Altos Estudios en Ciencias Exactas,No,0,Neto,27,Masculino
Córdoba,Full-Time,Contractor,450000,450000,Mi sueldo está dolarizado (pero cobro en moneda local),,No,No recibo bono,No,0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",Automatizaciones con herramienta no-code,0,1,0,0,"Make (ex-integromat), Prestashop",Javascript,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,No,No sé,6,1,,,,,,,,32,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000,997000,,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,4,4,4,0,Google Cloud Platform,"Javascript, Python","Flask, Node.js",Google Cloud Storage,Selenium,De 51 a 100 personas,100% remoto,0,Inflacion cada 3 meses,Sí,0,4,Universitario,Completo,Publicidad,UADE - Universidad Argentina De la Empresa,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,47,masculino
Córdoba,Full-Time,Staff (planta permanente),835469,693439,Cobro parte del salario en dólares,1014,Un sueldo,Performance de la compañía,No,0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Technical Leader,9,4,3,0,"Amazon Web Services, Docker, Kubernetes, Linux","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Next.js, React.js","Amazon RDS/Aurora, MongoDB, MySQL",Pytest,De 51 a 100 personas,Híbrido (presencial y remoto),2,"Sí, por desempeño.",No,8,5,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNC - Universidad Nacional de Córdoba,No,0,Porcentaje de mi sueldo bruto,29,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2500000,2200000,,,No,No recibo bono,Tres,25,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,25,25,25,0,Windows Server,"Ninguno de los anteriores, Vb6",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Ajustes de empleados de comercio,No,7,1,,,,,,,,49,masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1000000,800000,,,No,No recibo bono,Uno,30,Abril,1,Comidas pagas / subvencionadas,2,"No, estoy muy conforme.",Technical Leader,10,8,3,8,"Docker, Kubernetes, Linux","Bash/Shell, CSS, Go, Javascript, Python, SQL, TypeScript","Angular, Next.js, Node.js, React.js, Vue.js","MongoDB, MySQL, PostgreSQL, Redis","Jest, Mocha, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,9,0,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,"Sí, pasiva",0,Neto,30,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,1077000,,,No,No recibo bono,Uno,40,Enero,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Developer,6,4,4,0,Ninguna de las anteriores,Java,Spring,"IBM Db2, Microsoft SQL Server",JUnit,De 201 a 500 personas,100% remoto,0,Se redujo el intervalo entre ajustes de 6 a 4 meses,No,0,1,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,28,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),280000,250000,,,No,No recibo bono,No,0,Abril,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",1,"No, pero escucho ofertas.",Cloud support,0,0,0,0,Azure,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),0,,No,1,2,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,,,,27,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,2014000,,,No,No recibo bono,Más de tres,9,Mayo,3,"Abono de celular, Comidas pagas / subvencionadas",3,"Sí, estoy buscando activamente.",Technical Leader,16,0,0,10,"Amazon Web Services, Azure, Linux, VMWare, Windows Server","Bash/Shell, Python, Powershell",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),4,Si,No,3,5,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,41,Masculino
Tucumán,Full-Time,Staff (planta permanente),530000,530000,,,No,No recibo bono,Uno,10,Marzo,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Academy manager  y desarrollador de software,15,4,4,30,Linux,"CSS, HTML, Javascript, TypeScript","Bootstrap, Node.js, React.js",MongoDB,Jest,De 11  a 50  personas,100% remoto,0,Se redefinió un plan de carrera y en base a eso se evaluaba a los empleados y se les subía la categoría para aumentar el sueldo.,Sí,6,4,Universitario,Incompleto,Programador universitario,UTN - Universidad Tecnológica Nacional,,,,41,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,1050000,1050000,Cobro parte del salario en dólares,,No,No recibo bono,Dos,20,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Technical Leader,3,3,1,5,"Amazon Web Services, Docker, Firebase, Linux","CSS, HTML, Javascript, Python, SQL, TypeScript","Django, Flask, Next.js, Node.js, React.js",Ninguna de las anteriores,"Cypress, Postman, Playwright",De 11  a 50  personas,100% remoto,0,,No,8,4,Universitario,En curso,Licenciatura en Ciencia de Datos,UNSAM - Universidad de San Martín,,,,28,Masculino
Entre Ríos,Full-Time,Staff (planta permanente),980457.83,816281,,,No,No recibo bono,Dos,106,Abril,4,"Clases de idiomas, Horarios flexibles",4,"No, estoy muy conforme.",Developer,8,0,0,0,"Amazon Web Services, Docker, Linux","HTML, Java, SQL","Hibernate, Spring",Informix,JUnit,De 11  a 50  personas,100% remoto,0,Trimestral,No sé,10,1,Universitario,Completo,Tecnicatura Superior en Programación,UNSAM - Universidad de San Martín,No,0,Porcentaje de mi sueldo bruto,35,Masculino
Provincia de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1600000,1200000,,,No,No recibo bono,Dos,45,Marzo,4,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",DevOps Engineer,2,2,1,5,Ninguna de las anteriores,"Bash/Shell, Java",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,De 101 a 200 personas,100% remoto,0,Sí,No,8,2,Universitario,Completo,Analista de Sistemas,UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,,,,33,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,540000,540000,,,No,No recibo bono,Dos,90,Marzo,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",SysAdmin,2,2,1,0,"Linux, Microcontroladores, OpenShift, VMWare","Bash/Shell, Java, SQL",Angular,"ElasticSearch, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,Sí,6,4,Secundario,Completo,,,No,0,Porcentaje de mi sueldo bruto,27,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),500000,300000,,,No,No recibo bono,No,0,No tuve,2,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,0,0,0,0,"Amazon Web Services, Docker, Linux","PHP, Python, SQL","Bootstrap, Flutter, jQuery, Symfony",MySQL,PHPUnit,De 2 a 10 personas,100% remoto,0,,No sé,8,4,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,22,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),860000,805000,Cobro parte del salario en dólares,1040,Un sueldo,Performance individual,Tres,30,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",3,"No, estoy muy conforme.",Developer,4,4,1,3,Docker,"CSS, HTML, Javascript, SQL","Node.js, React.js","ElasticSearch, PostgreSQL","Cypress, Jest",De 51 a 100 personas,100% remoto,0,,No,9,4,,,,,,,,32,Masculino
Corrientes,Full-Time,Contractor,4000000,4000000,Cobro todo el salario en dólares,0,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs",4,"No, estoy muy conforme.",Developer,15,2,2,0,"Amazon Web Services, Docker, Linux","Javascript, SQL, TypeScript, ","Angular, Node.js, Nestjs ","ElasticSearch, MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,10,5,Posgrado/Especialización,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Neto,42,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1257000,1047618,,,Menos de un sueldo,Performance individual,Tres,33,Marzo,3,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc)",4,"No, estoy muy conforme.",Analista Funcional,8,0,0,0,"Docker, Linux",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Postman,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,10,1,,,,,,,,35,Masculino
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5000000,5000000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,3,"No, estoy muy conforme.",Developer,17,10,10,0,"Amazon Web Services, Docker, Linux","CSS, HTML, Javascript, Python","Angular, Bootstrap, Django, jQuery, React.js",MongoDB,Cypress,De 2 a 10 personas,100% remoto,0,,No,10,0,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNR - Universidad Nacional de Rosario,,,,41,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),450000,440000,Cobro todo el salario en dólares,1000,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,0,0,0,0,"Amazon Web Services, Docker, Linux","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Next.js, Node.js, React.js, Spring","MySQL, PostgreSQL","JUnit, Postman, Selenium",De 11  a 50  personas,Híbrido (presencial y remoto),4,No (muy en desacuerdo con esto y la razón por la que me quiero ir de la empresa),No,1,5,Universitario,En curso,Ingeniería en Informática,ITBA Instituto Tecnológico de Buenos Aires,,,,22,Femenino
San Juan,Full-Time,Staff (planta permanente),1107154,1029365,,,No,No recibo bono,Tres,22,Abril,4,"Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,2,1,1,0,Amazon Web Services,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js","Amazon DynamoDB, ElasticSearch","Jest, Postman",De 1001 a 2000 personas,100% remoto,0,No,No,9,5,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,,No,0,Porcentaje de mi sueldo bruto,24,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000,1600000,,,De uno a tres sueldos,Performance individual,Tres,55,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, estoy muy conforme.",Consultant,6,6,0,4,Linux,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,No,8,3,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,30,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,388000,,,Menos de un sueldo,Performance individual,Tres,110,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,2,1,1,0,Ninguna de las anteriores,TypeScript,"Next.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,"si, tuvimos un ajuste por inflación en el sueldo de diciembre, enero y de abril",No sé,9,0,Universitario,En curso,Lic. en gestión de IT,UADE - Universidad Argentina De la Empresa,,,,23,Femenino
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2183000,2000000,Cobro parte del salario en dólares,1080,No,No recibo bono,Uno,13,Abril,4,"Comidas pagas / subvencionadas, Horarios flexibles",3,"No, estoy muy conforme.",SysAdmin,6,4,2,0,"Amazon Web Services, Azure, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"ElasticSearch, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,10,2,Secundario,Completo,Tecnicatura en Programación,,No,0,Neto,21,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,3200000,10000000,Cobro todo el salario en dólares,1043,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Sueldo dividido en dos pagos por mes",4,"No, pero escucho ofertas.",Developer,4,1.5,1.5,0,"Docker, Google Cloud Platform, Kubernetes, Linux, Microcontroladores","Python, SQL",Flask,PostgreSQL,"Ninguna de las anteriores, Unittest",De 101 a 200 personas,100% remoto,0,No,Sí,10,3,Maestría,En curso,Ingeniería en Software,UNLP - Universidad Nacional de La Plata,,,,31,Masculino
Córdoba,Full-Time,Staff (planta permanente),1619999,1389999,,,No,No recibo bono,Dos,91.5,Abril,4,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,2,2,2,0,Ninguna de las anteriores,".NET, C#, Javascript",".NET Core, Angular",Oracle,Jest,De 501 a 1000 personas,100% remoto,0,,No sé,7,3,,,,,,,,26,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),660000,547000,,,No,No recibo bono,Uno,50,Febrero,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,1,1,2,0,Ninguna de las anteriores,"Java, Perl, SQL",Ninguno de los anteriores,"MySQL, Oracle",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),2,no,No,1,3,Universitario,En curso,Tecnicatura en Programación,UNSAM - Universidad de San Martín,,,,24,Femenino
Provincia de Buenos Aires,Part-Time,Staff (planta permanente),550000,456000,,,No,No recibo bono,No,0,No tuve,1,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,3,0,0,0,Linux,Python,Flask,"Informix, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,no,No,10,3,,,,,,,,23,Masculino
Mendoza,Full-Time,Staff (planta permanente),2900000,2400000,,,Un sueldo,Aguinaldo,Tres,30,Abril,3,"Capacitaciones y/o cursos, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Technical Leader,28,3,3,5,"Docker, Firebase, Linux, Google ","Dart, HTML, Java, Javascript, Kotlin, PHP, Rust, SQL, Swift, TypeScript","Bootstrap, Flutter, jQuery, Node.js, React.js","MariaDB, MongoDB, MySQL, PostgreSQL",Jest,De 51 a 100 personas,100% remoto,0,Pasamos de actualización trimestral a mensual,No,10,4,,,,,,,,47,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,5400000,5400000,Cobro todo el salario en dólares,1050,No,No recibo bono,No,0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Data Engineer,16,3,6,0,Azure,"Python, Scala, SQL","Hadoop, Spark, TensorFlow",Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,Sí,6,4,,,,,,,,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),14819270,9865722,Mi sueldo está dolarizado (pero cobro en moneda local),1040,De uno a tres sueldos,Performance de la compañía,No,0,No tuve,4,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Manager / Director,16,0,0,38,"Amazon Web Services, Docker, Kubernetes, Serverless","Bash/Shell, Go, Java, Javascript, SQL, TypeScript",Spring,"Amazon Redshift, Amazon RDS/Aurora, MongoDB, PostgreSQL, Redis",JUnit,De 101 a 200 personas,100% remoto,0,"No, el sueldo esta atado al dolar blue/ccl",No,9,3,Universitario,Incompleto,Ingeniería en Informática,,No,0,Bruto,39,Masculino
Provincia de Buenos Aires,Part-Time,Freelance,550000,550000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,Capacitaciones y/o cursos,3,"No, pero escucho ofertas.",Developer,2,1,1,0,"Amazon Web Services, Linux","CSS, HTML, Javascript","Node.js, Vue.js",MongoDB,Postman,De 2 a 10 personas,100% remoto,0,No,No,10,5,Terciario,Completo,Tecnicatura Electrónica,,,,,43,Masculino
